Linux report,08/08/2025 at 11:53:46 (GMT+0530),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASH TECHNOLOGIES PRIVATE LIMITED,Indore,,Indore,Madhya Pradesh,India,560048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya Jain,yasht8ra2,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Groups,IPs,Active Hosts,Hosts Matching Filters,Trend Analysis,Date Range,Network,Asset Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linux Device,NONE,5,5,Latest vulnerability data,01/01/1999 - 08/08/2025,Yash_Internal,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Vulnerabilities,Avg Security Risk,Business Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.7,25/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,Network,Total Vulnerabilities,Security Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6.16.50,Yash_Internal,11,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6.16.51,Yash_Internal,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.9.1.50,Yash_Internal,3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.1.18,Yash_Internal,3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.26.2.61,Yash_Internal,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,Network,DNS,NetBIOS,QG Host ID,IP Interfaces,Tracking Method,OS,IP Status,QID,Title,Vuln Status,Type,Severity,Port,Protocol,FQDN,SSL,First Detected,Last Detected,Times Detected,Date Last Fixed,First Reopened,Last Reopened,Times Reopened,CVE ID,Vendor Reference,Bugtraq ID,Threat,Impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Ticket State,Instance,Category,Associated Ags,Host ID,Asset ID,QDS,ARS,ACS,TruRisk Score
10.26.2.61,Yash_Internal,,,,,IP,Ubuntu/Linux,"host scanned, found vuln",38173,SSL Certificate - Signature Verification Failed Vulnerability,Active,Vuln,2,443,tcp,,over ssl,06-01-2025 04:24,08-01-2025 04:21,3,,,,,,,,"An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection. The authentication is done by verifying that the public key in the certificate is signed by a trusted third-party Certificate Authority.
 
If a client is unable to verify the certificate, it can abort communication or prompt the user to continue the communication without authentication.","By exploiting this vulnerability, man-in-the-middle attacks in tandem with DNS cache poisoning can occur.
 
Exception: 
If the server communicates only with a restricted set of clients who have the server certificate or the trusted CA certificate, then the server or CA certificate may not be available publicly, and the scan will be unable to verify the signature.",Please install a server certificate signed by a trusted third-party Certificate Authority.,,,"Certificate #0 CN=10.26.2.61,OU=automation,O=amuraa,L=Pune,ST=Maharastra,C=IN ISSUER:_CN=10.26.2.61,OU=automation,O=amuraa,L=Pune,ST=Maharastra,C=IN self signed certificate#",yes,,,General remote services,Linux Device,24178374,63946455,50,608,5,608
